# Messreihen
# Nr,Temp_C,Speed_mm_s,Dauer_s
# 1,200.0,1.16,380.0
#
sample_seq,millis_ms,kraft_N,temperatur,motor_geschwindigkeit,error_flags,sd_write_us,loop_duration_us
409,486166,1.897,200.09,1.16,0,0,3
410,486216,1.928,200.09,1.16,0,0,3
411,486266,2.014,200.09,1.16,0,0,3
412,486316,2.091,199.91,1.16,0,0,3
413,486366,2.114,199.91,1.16,0,0,3
414,486416,2.112,199.91,1.16,0,0,7
415,486467,2.059,200.02,1.16,0,0,20
416,486516,2.082,200.02,1.16,0,0,21
417,486566,2.051,200.02,1.16,0,0,7
418,486616,1.993,200.05,1.16,0,0,3
419,486666,1.995,200.05,1.16,0,0,2
420,486716,2.112,200.05,1.16,0,0,3
421,486766,2.156,200.05,1.16,0,0,3
422,486816,2.046,200.13,1.16,0,0,7
423,486866,1.992,200.13,1.16,0,0,3
424,486916,1.980,200.13,1.16,0,0,3
425,486966,1.999,199.98,1.16,0,0,3
426,487016,2.028,199.98,1.16,0,0,3
427,487066,2.033,199.98,1.16,0,0,3
428,487116,2.028,200.09,1.16,0,0,3
429,487166,2.073,200.09,1.16,0,0,3
430,487216,2.052,200.09,1.16,0,0,7
431,487266,1.963,200.02,1.16,0,0,3
432,487316,1.926,200.02,1.16,0,0,3
433,487366,1.923,200.02,1.16,0,0,3
434,487416,1.984,200.02,1.16,0,0,3
435,487466,2.013,200.02,1.16,0,0,3
436,487516,2.027,200.02,1.16,0,0,17
437,487566,2.044,200.02,1.16,0,0,3
438,487616,2.031,199.98,1.16,0,0,7
439,487666,2.045,199.98,1.16,0,0,3
440,487716,2.034,199.98,1.16,0,0,3
441,487766,2.032,200.02,1.16,0,0,3
442,487816,2.061,200.02,1.16,0,0,3
443,487866,2.141,200.02,1.16,0,0,3
444,487916,2.219,200.05,1.16,0,0,3
445,487966,2.120,200.05,1.16,0,0,3
446,488016,2.022,200.05,1.16,0,0,7
447,488066,2.079,200.05,1.16,0,0,3
448,488116,2.086,199.98,1.16,0,0,3
449,488166,1.957,199.98,1.16,0,0,3
450,488216,1.969,199.98,1.16,0,0,2
451,488266,2.060,199.98,1.16,0,0,3
452,488316,2.103,199.98,1.16,0,0,3
453,488366,2.079,199.98,1.16,0,0,3
454,488416,2.030,200.05,1.16,0,0,7
455,488466,2.045,200.05,1.16,0,0,2
456,488516,2.027,200.05,1.16,0,0,17
457,488566,2.013,200.09,1.16,0,0,2
458,488616,2.138,200.09,1.16,0,0,3
459,488666,2.175,200.09,1.16,0,0,7
460,488716,2.091,200.09,1.16,0,0,3
461,488766,2.116,200.09,1.16,0,0,3
462,488816,2.181,200.09,1.16,0,0,7
463,488866,2.069,200.09,1.16,0,0,3
464,488916,1.992,200.02,1.16,0,0,3
465,488966,1.984,200.02,1.16,0,0,2
466,489016,2.091,200.02,1.16,0,0,3
467,489066,2.193,199.98,1.16,0,0,7
468,489116,2.135,199.98,1.16,0,0,3
469,489166,2.113,199.98,1.16,0,0,3
470,489216,2.075,200.05,1.16,0,0,3
471,489266,2.058,200.05,1.16,0,0,3
472,489316,2.120,200.05,1.16,0,0,3
473,489366,2.098,200.05,1.16,0,0,3
474,489416,2.034,200.05,1.16,0,0,3
475,489466,2.057,200.05,1.16,0,0,7
476,489516,2.149,200.05,1.16,0,0,18
477,489566,2.056,200.02,1.16,0,0,3
478,489616,1.972,200.02,1.16,0,0,7
479,489666,1.958,200.02,1.16,0,0,3
480,489716,2.001,200.09,1.16,0,0,3
481,489766,2.128,200.09,1.16,0,0,3
482,489816,2.201,200.09,1.16,0,0,3
483,489866,2.240,200.05,1.16,0,0,3
484,489916,2.228,200.05,1.16,0,0,3
485,489966,2.187,200.05,1.16,0,0,9
486,490016,2.217,200.05,1.16,0,0,7
487,490066,2.137,200.05,1.16,0,0,3
488,490116,2.013,200.05,1.16,0,0,3
489,490166,2.057,200.05,1.16,0,0,13
490,490216,2.188,200.05,1.16,0,0,3
491,490266,2.153,200.05,1.16,0,0,7
492,490316,2.082,200.05,1.16,0,0,3
493,490366,2.104,200.09,1.16,0,0,13
494,490416,2.110,200.09,1.16,0,0,2
495,490466,2.136,200.09,1.16,0,0,11
496,490516,2.122,200.09,1.16,0,0,27
497,490566,2.109,200.05,1.16,0,0,9
498,490616,2.137,200.05,1.16,0,0,7
499,490666,2.151,200.05,1.16,0,0,7
500,490716,2.209,200.05,1.16,0,17708,3
501,490767,2.141,200.05,1.16,0,0,20
502,490816,2.021,200.05,1.16,0,0,3
503,490866,2.013,200.05,1.16,0,0,3
504,490916,2.051,200.05,1.16,0,0,3
505,490966,2.066,200.05,1.16,0,0,3
506,491016,2.106,200.05,1.16,0,0,3
507,491066,2.137,200.05,1.16,0,0,9
